id,ms_sub_class,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition1,condition2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior1st,exterior2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type1,bsmt_fin_sf1,bsmt_fin_type2,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price
11,20,rl,70.0,11200,pave,,reg,lvl,all_pub,inside,gtl,sawyer,norm,norm,1_fam,1_story,5,5,1965,1965,hip,comp_shg,hd_board,hd_board,,0.0,ta,ta,c_block,ta,ta,no,rec,906,unf,0,134,1040,gas_a,ex,y,s_brkr,1040,0,0,1040,1,0,1,0,3,1,ta,5,typ,0,,detchd,1965.0,unf,1,384,ta,ta,y,0,0,0,0,0,0,,,,0,2,2008,wd,normal,129500
12,60,rl,85.0,11924,pave,,ir1,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,1_fam,2_story,9,5,2005,2006,hip,comp_shg,wd_shng,wd_shng,stone,286.0,ex,ta,p_conc,ex,ta,no,glq,998,unf,0,177,1175,gas_a,ex,y,s_brkr,1182,1142,0,2324,1,0,3,0,4,1,ex,11,typ,2,gd,built_in,2005.0,fin,3,736,ta,ta,y,147,21,0,0,0,0,,,,0,7,2006,new,partial,345000
13,20,rl,,12968,pave,,ir2,lvl,all_pub,inside,gtl,sawyer,norm,norm,1_fam,1_story,5,6,1962,1962,hip,comp_shg,hd_board,plywood,,0.0,ta,ta,c_block,ta,ta,no,alq,737,unf,0,175,912,gas_a,ta,y,s_brkr,912,0,0,912,1,0,1,0,2,1,ta,4,typ,0,,detchd,1962.0,unf,1,352,ta,ta,y,140,0,0,0,176,0,,,,0,9,2008,wd,normal,144000
14,20,rl,91.0,10652,pave,,ir1,lvl,all_pub,inside,gtl,collg_cr,norm,norm,1_fam,1_story,7,5,2006,2007,gable,comp_shg,vinyl_sd,vinyl_sd,stone,306.0,gd,ta,p_conc,gd,ta,av,unf,0,unf,0,1494,1494,gas_a,ex,y,s_brkr,1494,0,0,1494,0,0,2,0,3,1,gd,7,typ,1,gd,attchd,2006.0,r_fn,3,840,ta,ta,y,160,33,0,0,0,0,,,,0,8,2007,new,partial,279500
15,20,rl,,10920,pave,,ir1,lvl,all_pub,corner,gtl,n_ames,norm,norm,1_fam,1_story,6,5,1960,1960,hip,comp_shg,metal_sd,metal_sd,brk_face,212.0,ta,ta,c_block,ta,ta,no,blq,733,unf,0,520,1253,gas_a,ta,y,s_brkr,1253,0,0,1253,1,0,1,1,2,1,ta,5,typ,1,fa,attchd,1960.0,r_fn,1,352,ta,ta,y,0,213,176,0,0,0,,gd_wo,,0,5,2008,wd,normal,157000
16,45,rm,51.0,6120,pave,,reg,lvl,all_pub,corner,gtl,brk_side,norm,norm,1_fam,1.5_unf,7,8,1929,2001,gable,comp_shg,wd_sdng,wd_sdng,,0.0,ta,ta,brk_til,ta,ta,no,unf,0,unf,0,832,832,gas_a,ex,y,fuse_a,854,0,0,854,0,0,1,0,2,1,ta,5,typ,0,,detchd,1991.0,unf,2,576,ta,ta,y,48,112,0,0,0,0,,gd_prv,,0,7,2007,wd,normal,132000
17,20,rl,,11241,pave,,ir1,lvl,all_pub,cul_d_sac,gtl,n_ames,norm,norm,1_fam,1_story,6,7,1970,1970,gable,comp_shg,wd_sdng,wd_sdng,brk_face,180.0,ta,ta,c_block,ta,ta,no,alq,578,unf,0,426,1004,gas_a,ex,y,s_brkr,1004,0,0,1004,1,0,1,0,2,1,ta,5,typ,1,ta,attchd,1970.0,fin,2,480,ta,ta,y,0,0,0,0,0,0,,,shed,700,3,2010,wd,normal,149000
18,90,rl,72.0,10791,pave,,reg,lvl,all_pub,inside,gtl,sawyer,norm,norm,duplex,1_story,4,5,1967,1967,gable,comp_shg,metal_sd,metal_sd,,0.0,ta,ta,slab,,,,,0,,0,0,0,gas_a,ta,y,s_brkr,1296,0,0,1296,0,0,2,0,2,2,ta,6,typ,0,,car_port,1967.0,unf,2,516,ta,ta,y,0,0,0,0,0,0,,,shed,500,10,2006,wd,normal,90000
19,20,rl,66.0,13695,pave,,reg,lvl,all_pub,inside,gtl,sawyer_w,rr_ae,norm,1_fam,1_story,5,5,2004,2004,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,ta,ta,p_conc,ta,ta,no,glq,646,unf,0,468,1114,gas_a,ex,y,s_brkr,1114,0,0,1114,1,0,1,1,3,1,gd,6,typ,0,,detchd,2004.0,unf,2,576,ta,ta,y,0,102,0,0,0,0,,,,0,6,2008,wd,normal,159000
20,20,rl,70.0,7560,pave,,reg,lvl,all_pub,inside,gtl,n_ames,norm,norm,1_fam,1_story,5,6,1958,1965,hip,comp_shg,brk_face,plywood,,0.0,ta,ta,c_block,ta,ta,no,lw_q,504,unf,0,525,1029,gas_a,ta,y,s_brkr,1339,0,0,1339,0,0,1,0,3,1,ta,6,min1,0,,attchd,1958.0,unf,1,294,ta,ta,y,0,0,0,0,0,0,,mn_prv,,0,5,2009,cod,abnorml,139000
21,60,rl,101.0,14215,pave,,ir1,lvl,all_pub,corner,gtl,nridg_ht,norm,norm,1_fam,2_story,8,5,2005,2006,gable,comp_shg,vinyl_sd,vinyl_sd,brk_face,380.0,gd,ta,p_conc,ex,ta,av,unf,0,unf,0,1158,1158,gas_a,ex,y,s_brkr,1158,1218,0,2376,0,0,3,1,4,1,gd,9,typ,1,gd,built_in,2005.0,r_fn,3,853,ta,ta,y,240,154,0,0,0,0,,,,0,11,2006,new,partial,325300
22,45,rm,57.0,7449,pave,grvl,reg,bnk,all_pub,inside,gtl,idotrr,norm,norm,1_fam,1.5_unf,7,7,1930,1950,gable,comp_shg,wd_sdng,wd_sdng,,0.0,ta,ta,p_conc,ta,ta,no,unf,0,unf,0,637,637,gas_a,ex,y,fuse_f,1108,0,0,1108,0,0,1,0,3,1,gd,6,typ,1,gd,attchd,1930.0,unf,1,280,ta,ta,n,0,0,205,0,0,0,,gd_prv,,0,6,2007,wd,normal,139400
23,20,rl,75.0,9742,pave,,reg,lvl,all_pub,inside,gtl,collg_cr,norm,norm,1_fam,1_story,8,5,2002,2002,hip,comp_shg,vinyl_sd,vinyl_sd,brk_face,281.0,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,1777,1777,gas_a,ex,y,s_brkr,1795,0,0,1795,0,0,2,0,3,1,gd,7,typ,1,gd,attchd,2002.0,r_fn,2,534,ta,ta,y,171,159,0,0,0,0,,,,0,9,2008,wd,normal,230000
24,120,rm,44.0,4224,pave,,reg,lvl,all_pub,inside,gtl,meadow_v,norm,norm,twnhs_e,1_story,5,7,1976,1976,gable,comp_shg,cemnt_bd,cment_bd,,0.0,ta,ta,p_conc,gd,ta,no,glq,840,unf,0,200,1040,gas_a,ta,y,s_brkr,1060,0,0,1060,1,0,1,0,3,1,ta,6,typ,1,ta,attchd,1976.0,unf,2,572,ta,ta,y,100,110,0,0,0,0,,,,0,6,2007,wd,normal,129900
25,20,rl,,8246,pave,,ir1,lvl,all_pub,inside,gtl,sawyer,norm,norm,1_fam,1_story,5,8,1968,2001,gable,comp_shg,plywood,plywood,,0.0,ta,gd,c_block,ta,ta,mn,rec,188,alq,668,204,1060,gas_a,ex,y,s_brkr,1060,0,0,1060,1,0,1,0,3,1,gd,6,typ,1,ta,attchd,1968.0,unf,1,270,ta,ta,y,406,90,0,0,0,0,,mn_prv,,0,5,2010,wd,normal,154000
26,20,rl,110.0,14230,pave,,reg,lvl,all_pub,corner,gtl,nridg_ht,norm,norm,1_fam,1_story,8,5,2007,2007,gable,comp_shg,vinyl_sd,vinyl_sd,stone,640.0,gd,ta,p_conc,gd,ta,no,unf,0,unf,0,1566,1566,gas_a,ex,y,s_brkr,1600,0,0,1600,0,0,2,0,3,1,gd,7,typ,1,gd,attchd,2007.0,r_fn,3,890,ta,ta,y,0,56,0,0,0,0,,,,0,7,2009,wd,normal,256300
27,20,rl,60.0,7200,pave,,reg,lvl,all_pub,corner,gtl,n_ames,norm,norm,1_fam,1_story,5,7,1951,2000,gable,comp_shg,wd_sdng,wd_sdng,,0.0,ta,ta,c_block,ta,ta,mn,blq,234,rec,486,180,900,gas_a,ta,y,s_brkr,900,0,0,900,0,1,1,0,3,1,gd,5,typ,0,,detchd,2005.0,unf,2,576,ta,ta,y,222,32,0,0,0,0,,,,0,5,2010,wd,normal,134800
28,20,rl,98.0,11478,pave,,reg,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,1_fam,1_story,8,5,2007,2008,gable,comp_shg,vinyl_sd,vinyl_sd,stone,200.0,gd,ta,p_conc,ex,ta,no,glq,1218,unf,0,486,1704,gas_a,ex,y,s_brkr,1704,0,0,1704,1,0,2,0,3,1,gd,7,typ,1,gd,attchd,2008.0,r_fn,3,772,ta,ta,y,0,50,0,0,0,0,,,,0,5,2010,wd,normal,306000
29,20,rl,47.0,16321,pave,,ir1,lvl,all_pub,cul_d_sac,gtl,n_ames,norm,norm,1_fam,1_story,5,6,1957,1997,gable,comp_shg,metal_sd,metal_sd,,0.0,ta,ta,c_block,ta,ta,gd,blq,1277,unf,0,207,1484,gas_a,ta,y,s_brkr,1600,0,0,1600,1,0,1,0,2,1,ta,6,typ,2,gd,attchd,1957.0,r_fn,1,319,ta,ta,y,288,258,0,0,0,0,,,,0,12,2006,wd,normal,207500
30,30,rm,60.0,6324,pave,,ir1,lvl,all_pub,inside,gtl,brk_side,feedr,rr_nn,1_fam,1_story,4,6,1927,1950,gable,comp_shg,metal_sd,metal_sd,,0.0,ta,ta,brk_til,ta,ta,no,unf,0,unf,0,520,520,gas_a,fa,n,s_brkr,520,0,0,520,0,0,1,0,1,1,fa,4,typ,0,,detchd,1920.0,unf,1,240,fa,ta,y,49,0,87,0,0,0,,,,0,5,2008,wd,normal,68500
31,70,c (all),50.0,8500,pave,pave,reg,lvl,all_pub,inside,gtl,idotrr,feedr,norm,1_fam,2_story,4,4,1920,1950,gambrel,comp_shg,brk_face,brk_face,,0.0,ta,fa,brk_til,ta,ta,no,unf,0,unf,0,649,649,gas_a,ta,n,s_brkr,649,668,0,1317,0,0,1,0,3,1,ta,6,typ,0,,detchd,1920.0,unf,1,250,ta,fa,n,0,54,172,0,0,0,,mn_prv,,0,7,2008,wd,normal,40000
32,20,rl,,8544,pave,,ir1,lvl,all_pub,cul_d_sac,gtl,sawyer,norm,norm,1_fam,1_story,5,6,1966,2006,gable,comp_shg,hd_board,hd_board,,0.0,ta,ta,c_block,ta,ta,no,unf,0,unf,0,1228,1228,gas_a,gd,y,s_brkr,1228,0,0,1228,0,0,1,1,3,1,gd,6,typ,0,,attchd,1966.0,unf,1,271,ta,ta,y,0,65,0,0,0,0,,mn_prv,,0,6,2008,wd,normal,149350
33,20,rl,85.0,11049,pave,,reg,lvl,all_pub,corner,gtl,collg_cr,norm,norm,1_fam,1_story,8,5,2007,2007,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,gd,ta,p_conc,ex,ta,av,unf,0,unf,0,1234,1234,gas_a,ex,y,s_brkr,1234,0,0,1234,0,0,2,0,3,1,gd,7,typ,0,,attchd,2007.0,r_fn,2,484,ta,ta,y,0,30,0,0,0,0,,,,0,1,2008,wd,normal,179900
34,20,rl,70.0,10552,pave,,ir1,lvl,all_pub,inside,gtl,n_ames,norm,norm,1_fam,1_story,5,5,1959,1959,hip,comp_shg,brk_face,brk_face,,0.0,ta,ta,c_block,ta,ta,no,rec,1018,unf,0,380,1398,gas_a,gd,y,s_brkr,1700,0,0,1700,0,1,1,1,4,1,gd,6,typ,1,gd,attchd,1959.0,r_fn,2,447,ta,ta,y,0,38,0,0,0,0,,,,0,4,2010,wd,normal,165500
35,120,rl,60.0,7313,pave,,reg,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,twnhs_e,1_story,9,5,2005,2005,hip,comp_shg,metal_sd,metal_sd,brk_face,246.0,ex,ta,p_conc,ex,ta,no,glq,1153,unf,0,408,1561,gas_a,ex,y,s_brkr,1561,0,0,1561,1,0,2,0,2,1,ex,6,typ,1,gd,attchd,2005.0,fin,2,556,ta,ta,y,203,47,0,0,0,0,,,,0,8,2007,wd,normal,277500
36,60,rl,108.0,13418,pave,,reg,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,1_fam,2_story,8,5,2004,2005,gable,comp_shg,vinyl_sd,vinyl_sd,stone,132.0,gd,ta,p_conc,ex,ta,av,unf,0,unf,0,1117,1117,gas_a,ex,y,s_brkr,1132,1320,0,2452,0,0,3,1,4,1,gd,9,typ,1,gd,built_in,2004.0,fin,3,691,ta,ta,y,113,32,0,0,0,0,,,,0,9,2006,wd,normal,309000
37,20,rl,112.0,10859,pave,,reg,lvl,all_pub,corner,gtl,collg_cr,norm,norm,1_fam,1_story,5,5,1994,1995,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,ta,ta,p_conc,gd,ta,no,unf,0,unf,0,1097,1097,gas_a,ex,y,s_brkr,1097,0,0,1097,0,0,1,1,3,1,ta,6,typ,0,,attchd,1995.0,unf,2,672,ta,ta,y,392,64,0,0,0,0,,,,0,6,2009,wd,normal,145000
38,20,rl,74.0,8532,pave,,reg,lvl,all_pub,inside,gtl,n_ames,norm,norm,1_fam,1_story,5,6,1954,1990,hip,comp_shg,wd_sdng,wd_sdng,brk_face,650.0,ta,ta,c_block,ta,ta,no,rec,1213,unf,0,84,1297,gas_a,gd,y,s_brkr,1297,0,0,1297,0,1,1,0,3,1,ta,5,typ,1,ta,attchd,1954.0,fin,2,498,ta,ta,y,0,0,0,0,0,0,,,,0,10,2009,wd,normal,153000
39,20,rl,68.0,7922,pave,,reg,lvl,all_pub,inside,gtl,n_ames,norm,norm,1_fam,1_story,5,7,1953,2007,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,ta,gd,c_block,ta,ta,no,glq,731,unf,0,326,1057,gas_a,ta,y,s_brkr,1057,0,0,1057,1,0,1,0,3,1,gd,5,typ,0,,detchd,1953.0,unf,1,246,ta,ta,y,0,52,0,0,0,0,,,,0,1,2010,wd,abnorml,109000
40,90,rl,65.0,6040,pave,,reg,lvl,all_pub,inside,gtl,edwards,norm,norm,duplex,1_story,4,5,1955,1955,gable,comp_shg,asb_shng,plywood,,0.0,ta,ta,p_conc,,,,,0,,0,0,0,gas_a,ta,n,fuse_p,1152,0,0,1152,0,0,2,0,2,2,fa,6,typ,0,,,,,0,0,,,n,0,0,0,0,0,0,,,,0,6,2008,wd,adj_land,82000
41,20,rl,84.0,8658,pave,,reg,lvl,all_pub,inside,gtl,n_ames,norm,norm,1_fam,1_story,6,5,1965,1965,gable,comp_shg,wd_sdng,wd_sdng,brk_face,101.0,ta,ta,c_block,ta,ta,no,rec,643,unf,0,445,1088,gas_a,ex,y,s_brkr,1324,0,0,1324,0,0,2,0,3,1,ta,6,typ,1,ta,attchd,1965.0,r_fn,2,440,ta,ta,y,0,138,0,0,0,0,,gd_wo,,0,12,2006,wd,abnorml,160000
42,20,rl,115.0,16905,pave,,reg,lvl,all_pub,inside,gtl,timber,norm,norm,1_fam,1_story,5,6,1959,1959,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,ta,gd,c_block,ta,ta,gd,blq,967,unf,0,383,1350,gas_a,gd,y,s_brkr,1328,0,0,1328,0,1,1,1,2,1,ta,5,typ,2,gd,attchd,1959.0,r_fn,1,308,ta,ta,p,0,104,0,0,0,0,,,,0,7,2007,wd,normal,170000
43,85,rl,,9180,pave,,ir1,lvl,all_pub,cul_d_sac,gtl,sawyer_w,norm,norm,1_fam,s_foyer,5,7,1983,1983,gable,comp_shg,hd_board,hd_board,,0.0,ta,ta,c_block,gd,ta,av,alq,747,lw_q,93,0,840,gas_a,gd,y,s_brkr,884,0,0,884,1,0,1,0,2,1,gd,5,typ,0,,attchd,1983.0,r_fn,2,504,ta,gd,y,240,0,0,0,0,0,,mn_prv,,0,12,2007,wd,normal,144000
44,20,rl,,9200,pave,,ir1,lvl,all_pub,cul_d_sac,gtl,collg_cr,norm,norm,1_fam,1_story,5,6,1975,1980,hip,comp_shg,vinyl_sd,vinyl_sd,,0.0,ta,ta,c_block,gd,ta,av,lw_q,280,blq,491,167,938,gas_a,ta,y,s_brkr,938,0,0,938,1,0,1,0,3,1,ta,5,typ,0,,detchd,1977.0,unf,1,308,ta,ta,y,145,0,0,0,0,0,,mn_prv,,0,7,2008,wd,normal,130250
45,20,rl,70.0,7945,pave,,reg,lvl,all_pub,inside,gtl,n_ames,norm,norm,1_fam,1_story,5,6,1959,1959,gable,comp_shg,brk_face,wd_sdng,,0.0,ta,ta,c_block,ta,ta,no,alq,179,blq,506,465,1150,gas_a,ex,y,fuse_a,1150,0,0,1150,1,0,1,0,3,1,ta,6,typ,0,,attchd,1959.0,r_fn,1,300,ta,ta,y,0,0,0,0,0,0,,,,0,5,2006,wd,normal,141000
46,120,rl,61.0,7658,pave,,reg,lvl,all_pub,inside,gtl,nridg_ht,norm,norm,twnhs_e,1_story,9,5,2005,2005,hip,comp_shg,metal_sd,metal_sd,brk_face,412.0,ex,ta,p_conc,ex,ta,no,glq,456,unf,0,1296,1752,gas_a,ex,y,s_brkr,1752,0,0,1752,1,0,2,0,2,1,ex,6,typ,1,gd,attchd,2005.0,r_fn,2,576,ta,ta,y,196,82,0,0,0,0,,,,0,2,2010,wd,normal,319900
47,50,rl,48.0,12822,pave,,ir1,lvl,all_pub,cul_d_sac,gtl,mitchel,norm,norm,1_fam,1.5_fin,7,5,2003,2003,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,gd,ta,p_conc,ex,ta,no,glq,1351,unf,0,83,1434,gas_a,ex,y,s_brkr,1518,631,0,2149,1,0,1,1,1,1,gd,6,typ,1,ex,attchd,2003.0,r_fn,2,670,ta,ta,y,168,43,0,0,198,0,,,,0,8,2009,wd,abnorml,239686
48,20,fv,84.0,11096,pave,,reg,lvl,all_pub,inside,gtl,somerst,norm,norm,1_fam,1_story,8,5,2006,2006,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,gd,ta,p_conc,gd,ta,av,glq,24,unf,0,1632,1656,gas_a,ex,y,s_brkr,1656,0,0,1656,0,0,2,0,3,1,gd,7,typ,0,,attchd,2006.0,r_fn,3,826,ta,ta,y,0,146,0,0,0,0,,,,0,7,2007,wd,normal,249700
49,190,rm,33.0,4456,pave,,reg,lvl,all_pub,inside,gtl,old_town,norm,norm,2fm_con,2_story,4,5,1920,2008,gable,comp_shg,metal_sd,metal_sd,,0.0,ta,ta,brk_til,ta,ta,no,unf,0,unf,0,736,736,gas_a,gd,y,s_brkr,736,716,0,1452,0,0,2,0,2,3,ta,8,typ,0,,,,,0,0,,,n,0,0,102,0,0,0,,,,0,6,2009,new,partial,113000
50,20,rl,66.0,7742,pave,,reg,lvl,all_pub,inside,gtl,sawyer,norm,norm,1_fam,1_story,5,7,1966,1966,gable,comp_shg,hd_board,hd_board,,0.0,ta,ta,c_block,ta,ta,no,blq,763,unf,0,192,955,gas_a,ex,y,s_brkr,955,0,0,955,1,0,1,0,3,1,ta,6,typ,0,,attchd,1966.0,unf,1,386,ta,ta,y,0,0,0,0,0,0,,mn_prv,,0,1,2007,wd,normal,127000
51,60,rl,,13869,pave,,ir2,lvl,all_pub,corner,gtl,gilbert,norm,norm,1_fam,2_story,6,6,1997,1997,gable,comp_shg,vinyl_sd,vinyl_sd,,0.0,ta,ta,p_conc,gd,ta,av,glq,182,unf,0,612,794,gas_a,gd,y,s_brkr,794,676,0,1470,0,1,2,0,3,1,ta,6,typ,0,,attchd,1997.0,fin,2,388,ta,ta,y,0,75,0,0,0,0,,,,0,7,2007,wd,normal,177000
52,50,rm,52.0,6240,pave,,reg,lvl,all_pub,inside,gtl,brk_side,norm,norm,1_fam,1.5_fin,6,6,1934,1950,gable,comp_shg,wd_sdng,wd_sdng,,0.0,ta,ta,p_conc,ta,ta,no,unf,0,unf,0,816,816,gas_a,ta,y,s_brkr,816,0,360,1176,0,0,1,0,3,1,ta,6,typ,1,gd,detchd,1985.0,unf,2,528,ta,ta,y,112,0,0,0,0,0,,mn_prv,shed,400,9,2006,wd,normal,114500
53,90,rm,110.0,8472,grvl,,ir2,bnk,all_pub,corner,mod,idotrr,rr_nn,norm,duplex,1_story,5,5,1963,1963,gable,comp_shg,wd_sdng,wd_sdng,,0.0,fa,ta,c_block,gd,ta,gd,lw_q,104,glq,712,0,816,gas_a,ta,n,s_brkr,816,0,0,816,1,0,1,0,2,1,ta,5,typ,0,,car_port,1963.0,unf,2,516,ta,ta,y,106,0,0,0,0,0,,,,0,5,2010,wd,normal,110000
54,20,rl,68.0,50271,pave,,ir1,low,all_pub,inside,gtl,veenker,norm,norm,1_fam,1_story,9,5,1981,1987,gable,wd_shngl,wd_shng,wd_shng,,0.0,gd,ta,c_block,ex,ta,gd,glq,1810,unf,0,32,1842,gas_a,gd,y,s_brkr,1842,0,0,1842,2,0,0,1,0,1,gd,5,typ,1,gd,attchd,1981.0,fin,3,894,ta,ta,y,857,72,0,0,0,0,,,,0,11,2006,wd,normal,385000
